Age,Gender,Location,Parental Occupation,Study Hours,Previously Written JAMB,WAEC English Score,WAEC Maths Score,Internet Access,Understanding of Subjects,Confidence in JAMB Success,CBT Experience,Feelings about CBT,Learning Materials Availability,Educational Technology Usage,Support for Exam Preparation,Suggestions for School Improvement,Adequate JAMB Preparation,Result
16,Female,Lekki (Private),Civil servant,1-3 hours,Yes,60,70,No,Average,Somewhat confident,No,Comfortable,Poor,Always,"More past questions, Counseling, Extra lessons",More practical lessons,Yes,Fail
19,Male,Epe (Public),Teacher,Less than 1 hour,Yes,98,48,Yes,Average,Very confident,Yes,Comfortable,Excellent,Often,Extra lessons,More practical lessons,Yes,Fail
20,Female,Ikorodu (Public),Trader,1-3 hours,Yes,58,61,Yes,Excellent,Not confident,No,Neutral,Fair,Often,Counseling,Extra classes,Yes,Fail
17,Female,Victoria Island (Private),Teacher,Less than 1 hour,Yes,42,88,Yes,Excellent,Confident,Yes,Comfortable,Good,Never,"Tutors, Counseling, Better textbooks",Improved facilities,Yes,Fail
16,Female,Ikorodu (Public),Artisan,3-5 hours,Yes,87,55,No,Average,Not confident,No,Neutral,Good,Often,"Extra lessons, Tutors",Extra classes,No,Fail
18,Female,Lekki (Private),Civil servant,More than 5 hours,Yes,54,59,No,Excellent,Confident,Yes,Neutral,Poor,Occasionally,"More past questions, Better textbooks",Improved facilities,Yes,Pass
19,Female,Others,Business owner,More than 5 hours,Yes,99,64,Yes,Excellent,Very confident,No,Uncomfortable,Poor,Never,"Counseling, Tutors",More teachers,No,Fail
19,Female,Ikorodu (Public),Teacher,3-5 hours,No,48,84,No,Average,Very confident,No,Uncomfortable,Excellent,Always,"Better textbooks, Tutors",More teachers,Yes,Fail
19,Female,Victoria Island (Private),Teacher,3-5 hours,Yes,49,65,Yes,Excellent,Very confident,Yes,Comfortable,Poor,Never,"Better textbooks, Counseling, More past questions",More teachers,No,Fail
18,Female,Epe (Public),Business owner,Less than 1 hour,Yes,87,86,Yes,Poor,Somewhat confident,No,Comfortable,Fair,Often,"Tutors, Extra lessons, Counseling",More teachers,Yes,Fail
18,Male,Epe (Public),Trader,More than 5 hours,No,54,49,No,Good,Somewhat confident,No,Uncomfortable,Good,Always,More past questions,Extra classes,Yes,Fail
17,Female,Ikorodu (Public),Civil servant,Less than 1 hour,Yes,51,48,Yes,Average,Somewhat confident,No,Neutral,Good,Never,"Tutors, Extra lessons, Counseling",Extra classes,Yes,Fail
19,Male,Epe (Public),Artisan,3-5 hours,No,89,57,Yes,Poor,Not confident,Yes,Neutral,Excellent,Occasionally,"Tutors, Better textbooks, Extra lessons",More teachers,No,Fail
19,Female,Lekki (Private),Trader,3-5 hours,No,87,41,Yes,Excellent,Not confident,Yes,Comfortable,Good,Never,"Counseling, Extra lessons, More past questions",More practical lessons,Yes,Fail
19,Male,Others,Civil servant,More than 5 hours,No,54,45,Yes,Excellent,Not confident,No,Neutral,Fair,Occasionally,"Extra lessons, Tutors",More practical lessons,Yes,Fail
20,Female,Victoria Island (Private),Business owner,More than 5 hours,No,56,73,No,Poor,Not confident,Yes,Neutral,Good,Never,More past questions,More practical lessons,No,Fail
19,Female,Lekki (Private),Business owner,1-3 hours,Yes,52,71,Yes,Average,Not confident,Yes,Neutral,Excellent,Often,Better textbooks,Improved facilities,Yes,Fail
18,Male,Epe (Public),Civil servant,More than 5 hours,No,56,67,Yes,Good,Confident,No,Comfortable,Fair,Occasionally,"Better textbooks, Counseling, More past questions",More practical lessons,No,Fail
16,Male,Ikorodu (Public),Civil servant,3-5 hours,Yes,65,69,No,Good,Confident,No,Neutral,Excellent,Often,"Tutors, Counseling, Better textbooks",Extra classes,Yes,Fail
19,Female,Lekki (Private),Civil servant,3-5 hours,Yes,69,98,No,Excellent,Very confident,Yes,Neutral,Fair,Always,"Tutors, Better textbooks, More past questions",More practical lessons,No,Pass
20,Male,Victoria Island (Private),Civil servant,Less than 1 hour,Yes,77,89,No,Poor,Not confident,Yes,Comfortable,Poor,Occasionally,"Extra lessons, More past questions",Extra classes,Yes,Fail
20,Female,Lekki (Private),Teacher,3-5 hours,Yes,57,73,No,Average,Not confident,No,Comfortable,Fair,Always,"More past questions, Better textbooks, Extra lessons",More teachers,No,Fail
17,Female,Others,Business owner,Less than 1 hour,Yes,95,68,No,Average,Somewhat confident,No,Uncomfortable,Poor,Often,"Tutors, Better textbooks, Counseling",Extra classes,Yes,Fail
19,Female,Ikorodu (Public),Trader,Less than 1 hour,No,74,73,Yes,Good,Somewhat confident,No,Uncomfortable,Excellent,Never,Better textbooks,More practical lessons,No,Fail
18,Male,Lekki (Private),Civil servant,More than 5 hours,Yes,79,62,Yes,Average,Confident,Yes,Uncomfortable,Good,Never,Better textbooks,More practical lessons,Yes,Pass
18,Female,Ikorodu (Public),Artisan,Less than 1 hour,No,89,73,Yes,Average,Very confident,Yes,Neutral,Fair,Always,"Tutors, Counseling, More past questions",Improved facilities,No,Pass
19,Male,Epe (Public),Business owner,Less than 1 hour,Yes,84,66,Yes,Poor,Not confident,No,Neutral,Poor,Occasionally,Better textbooks,More teachers,No,Fail
20,Female,Others,Civil servant,Less than 1 hour,No,46,72,No,Poor,Not confident,No,Neutral,Excellent,Often,"Extra lessons, More past questions",More teachers,Yes,Fail
17,Female,Epe (Public),Business owner,1-3 hours,No,47,94,Yes,Excellent,Somewhat confident,No,Neutral,Poor,Never,"Extra lessons, Counseling",More practical lessons,No,Fail
20,Female,Ikorodu (Public),Civil servant,Less than 1 hour,No,49,71,Yes,Average,Confident,Yes,Comfortable,Excellent,Always,"More past questions, Tutors, Better textbooks",More practical lessons,Yes,Fail
16,Female,Lekki (Private),Civil servant,1-3 hours,No,65,92,Yes,Excellent,Not confident,No,Uncomfortable,Good,Occasionally,"Tutors, Extra lessons",More teachers,Yes,Fail
17,Male,Ikorodu (Public),Civil servant,Less than 1 hour,No,51,43,Yes,Average,Confident,Yes,Comfortable,Fair,Never,Better textbooks,More practical lessons,Yes,Fail
19,Female,Others,Artisan,Less than 1 hour,No,82,51,Yes,Excellent,Confident,Yes,Neutral,Poor,Always,"More past questions, Better textbooks",More practical lessons,Yes,Pass
16,Female,Epe (Public),Teacher,More than 5 hours,Yes,71,83,Yes,Good,Confident,Yes,Uncomfortable,Good,Often,"More past questions, Extra lessons",Improved facilities,Yes,Pass
17,Male,Epe (Public),Trader,Less than 1 hour,Yes,52,76,Yes,Excellent,Not confident,Yes,Neutral,Good,Occasionally,"More past questions, Extra lessons",More practical lessons,Yes,Fail
16,Male,Epe (Public),Business owner,1-3 hours,No,85,79,No,Excellent,Not confident,Yes,Comfortable,Excellent,Never,More past questions,Improved facilities,Yes,Fail
17,Male,Ikorodu (Public),Business owner,More than 5 hours,No,43,72,No,Good,Not confident,Yes,Neutral,Good,Never,"Counseling, Tutors",Extra classes,No,Fail
19,Male,Others,Civil servant,Less than 1 hour,No,83,54,Yes,Average,Not confident,Yes,Uncomfortable,Good,Occasionally,"Tutors, More past questions, Counseling",Improved facilities,Yes,Fail
20,Female,Ikorodu (Public),Civil servant,1-3 hours,Yes,80,95,No,Average,Very confident,No,Uncomfortable,Excellent,Occasionally,Tutors,More teachers,Yes,Fail
17,Female,Ikorodu (Public),Business owner,More than 5 hours,No,68,99,No,Average,Very confident,Yes,Comfortable,Good,Occasionally,"Better textbooks, Extra lessons, Counseling",More practical lessons,Yes,Pass
19,Female,Victoria Island (Private),Trader,More than 5 hours,No,47,59,Yes,Poor,Somewhat confident,No,Comfortable,Fair,Always,"Extra lessons, Tutors, Counseling",More practical lessons,No,Fail
18,Male,Victoria Island (Private),Artisan,3-5 hours,Yes,91,89,No,Poor,Somewhat confident,Yes,Comfortable,Good,Never,"More past questions, Counseling",More teachers,No,Fail
17,Female,Lekki (Private),Artisan,3-5 hours,No,83,42,No,Excellent,Somewhat confident,No,Neutral,Poor,Occasionally,Better textbooks,More teachers,No,Fail
18,Male,Others,Teacher,More than 5 hours,Yes,48,89,No,Excellent,Very confident,Yes,Neutral,Fair,Always,Better textbooks,More practical lessons,Yes,Fail
16,Male,Others,Teacher,Less than 1 hour,No,72,40,Yes,Good,Somewhat confident,Yes,Uncomfortable,Excellent,Occasionally,Counseling,Extra classes,No,Fail
19,Male,Lekki (Private),Artisan,3-5 hours,No,59,68,Yes,Good,Somewhat confident,No,Neutral,Poor,Never,"Better textbooks, Tutors, More past questions",Extra classes,No,Fail
20,Male,Epe (Public),Artisan,Less than 1 hour,No,49,90,Yes,Excellent,Confident,Yes,Uncomfortable,Fair,Occasionally,More past questions,Improved facilities,No,Fail
20,Female,Ikorodu (Public),Business owner,Less than 1 hour,No,54,80,No,Excellent,Somewhat confident,No,Neutral,Good,Often,"Better textbooks, Tutors, Extra lessons",More practical lessons,No,Fail
19,Female,Others,Artisan,Less than 1 hour,No,90,90,Yes,Good,Somewhat confident,Yes,Uncomfortable,Good,Never,"Tutors, More past questions, Better textbooks",More teachers,No,Fail
18,Male,Epe (Public),Teacher,1-3 hours,No,85,74,Yes,Poor,Very confident,No,Neutral,Poor,Occasionally,"Better textbooks, More past questions",Extra classes,Yes,Fail
18,Female,Lekki (Private),Business owner,More than 5 hours,Yes,59,93,Yes,Poor,Very confident,No,Uncomfortable,Excellent,Occasionally,Extra lessons,More teachers,No,Fail
18,Male,Lekki (Private),Business owner,Less than 1 hour,No,50,66,No,Average,Somewhat confident,No,Neutral,Fair,Often,"Better textbooks, Tutors",More practical lessons,Yes,Fail
19,Female,Lekki (Private),Trader,1-3 hours,No,65,41,No,Average,Very confident,No,Uncomfortable,Excellent,Often,Tutors,Extra classes,Yes,Fail
17,Male,Victoria Island (Private),Civil servant,3-5 hours,Yes,96,90,No,Average,Somewhat confident,No,Uncomfortable,Excellent,Never,"Better textbooks, Extra lessons, Tutors",Extra classes,Yes,Fail
18,Male,Lekki (Private),Trader,3-5 hours,Yes,83,75,Yes,Good,Somewhat confident,Yes,Uncomfortable,Poor,Often,"Extra lessons, More past questions, Tutors",More practical lessons,No,Fail
20,Female,Lekki (Private),Civil servant,1-3 hours,No,51,90,No,Poor,Somewhat confident,Yes,Uncomfortable,Good,Never,"More past questions, Counseling",More teachers,No,Fail
18,Male,Lekki (Private),Trader,More than 5 hours,Yes,98,72,Yes,Excellent,Very confident,Yes,Uncomfortable,Fair,Occasionally,"Tutors, Counseling",More practical lessons,No,Pass
17,Male,Others,Civil servant,3-5 hours,No,72,44,Yes,Good,Somewhat confident,No,Uncomfortable,Fair,Occasionally,Counseling,More practical lessons,Yes,Fail
17,Female,Others,Business owner,3-5 hours,Yes,59,100,No,Excellent,Not confident,Yes,Neutral,Excellent,Always,More past questions,Extra classes,Yes,Fail
19,Male,Others,Trader,Less than 1 hour,Yes,87,89,Yes,Poor,Not confident,No,Uncomfortable,Good,Never,"Tutors, Counseling, More past questions",Extra classes,No,Fail
20,Female,Ikorodu (Public),Teacher,1-3 hours,No,65,76,No,Excellent,Not confident,No,Uncomfortable,Fair,Occasionally,"Tutors, Better textbooks",More practical lessons,Yes,Fail
16,Male,Victoria Island (Private),Artisan,Less than 1 hour,Yes,48,94,No,Good,Not confident,No,Comfortable,Poor,Often,"More past questions, Extra lessons",More teachers,Yes,Fail
19,Female,Ikorodu (Public),Artisan,1-3 hours,Yes,84,40,No,Good,Not confident,Yes,Comfortable,Poor,Never,"Extra lessons, Counseling",Extra classes,Yes,Fail
17,Male,Ikorodu (Public),Trader,Less than 1 hour,No,82,43,Yes,Excellent,Confident,Yes,Comfortable,Good,Always,"Better textbooks, Counseling",Improved facilities,Yes,Fail
20,Female,Epe (Public),Business owner,Less than 1 hour,Yes,41,89,Yes,Poor,Somewhat confident,Yes,Neutral,Poor,Occasionally,"Extra lessons, Better textbooks",More practical lessons,No,Fail
18,Male,Lekki (Private),Trader,Less than 1 hour,No,88,41,Yes,Average,Very confident,Yes,Uncomfortable,Poor,Always,Counseling,More teachers,No,Fail
17,Male,Victoria Island (Private),Business owner,3-5 hours,No,86,95,Yes,Average,Not confident,No,Uncomfortable,Excellent,Never,More past questions,More practical lessons,Yes,Fail
19,Female,Ikorodu (Public),Business owner,1-3 hours,Yes,49,53,No,Poor,Confident,No,Uncomfortable,Poor,Always,"Tutors, Counseling, Extra lessons",More practical lessons,Yes,Fail
16,Female,Lekki (Private),Business owner,1-3 hours,No,58,63,No,Poor,Confident,No,Uncomfortable,Excellent,Occasionally,Extra lessons,Extra classes,No,Fail
19,Male,Epe (Public),Business owner,1-3 hours,Yes,72,60,Yes,Excellent,Very confident,No,Comfortable,Good,Occasionally,"Counseling, Extra lessons",Improved facilities,No,Fail
17,Male,Lekki (Private),Civil servant,3-5 hours,Yes,58,97,Yes,Average,Not confident,No,Comfortable,Fair,Often,"Tutors, More past questions",Improved facilities,No,Fail
20,Female,Ikorodu (Public),Business owner,1-3 hours,Yes,95,58,No,Average,Not confident,No,Uncomfortable,Poor,Often,"Extra lessons, More past questions",Improved facilities,Yes,Fail
20,Female,Lekki (Private),Trader,3-5 hours,No,63,62,No,Average,Not confident,Yes,Uncomfortable,Poor,Often,"More past questions, Tutors, Counseling",Improved facilities,No,Fail
19,Male,Epe (Public),Trader,3-5 hours,Yes,48,65,No,Excellent,Confident,Yes,Comfortable,Poor,Occasionally,Extra lessons,More practical lessons,No,Fail
20,Male,Ikorodu (Public),Trader,Less than 1 hour,Yes,74,72,No,Average,Somewhat confident,Yes,Comfortable,Fair,Often,More past questions,Extra classes,No,Fail
17,Female,Ikorodu (Public),Civil servant,More than 5 hours,Yes,64,93,No,Poor,Confident,No,Comfortable,Poor,Occasionally,Counseling,Extra classes,Yes,Fail
16,Male,Victoria Island (Private),Trader,Less than 1 hour,Yes,44,84,No,Poor,Somewhat confident,No,Neutral,Poor,Always,"Better textbooks, Counseling, Extra lessons",More practical lessons,Yes,Fail
20,Male,Victoria Island (Private),Teacher,More than 5 hours,Yes,80,63,Yes,Average,Not confident,No,Comfortable,Poor,Often,"Better textbooks, Tutors",Improved facilities,No,Fail
19,Female,Victoria Island (Private),Civil servant,More than 5 hours,No,74,44,Yes,Poor,Very confident,Yes,Comfortable,Excellent,Never,"Extra lessons, Tutors, Counseling",Improved facilities,Yes,Fail
16,Male,Ikorodu (Public),Business owner,More than 5 hours,No,93,72,No,Excellent,Very confident,No,Uncomfortable,Fair,Always,"Extra lessons, Tutors",Improved facilities,Yes,Fail
16,Male,Others,Business owner,Less than 1 hour,No,86,59,No,Poor,Very confident,Yes,Neutral,Fair,Always,"Extra lessons, More past questions, Tutors",More practical lessons,Yes,Pass
17,Female,Ikorodu (Public),Business owner,3-5 hours,No,78,66,No,Poor,Not confident,No,Comfortable,Excellent,Occasionally,Extra lessons,More practical lessons,Yes,Fail
18,Male,Lekki (Private),Teacher,More than 5 hours,Yes,88,50,Yes,Good,Not confident,Yes,Uncomfortable,Fair,Often,Tutors,More practical lessons,Yes,Fail
17,Male,Lekki (Private),Artisan,3-5 hours,No,70,84,No,Poor,Confident,Yes,Comfortable,Good,Often,"More past questions, Extra lessons",Improved facilities,Yes,Pass
16,Male,Epe (Public),Artisan,Less than 1 hour,No,68,52,Yes,Good,Not confident,No,Neutral,Poor,Always,"More past questions, Counseling",More practical lessons,No,Fail
16,Male,Others,Teacher,1-3 hours,No,94,78,No,Poor,Not confident,Yes,Comfortable,Poor,Often,"Better textbooks, More past questions, Tutors",Extra classes,No,Fail
17,Male,Victoria Island (Private),Civil servant,1-3 hours,No,58,70,Yes,Excellent,Somewhat confident,Yes,Uncomfortable,Poor,Occasionally,Extra lessons,More teachers,Yes,Fail
20,Female,Lekki (Private),Artisan,Less than 1 hour,Yes,67,57,No,Average,Somewhat confident,No,Uncomfortable,Good,Often,"More past questions, Better textbooks, Extra lessons",More teachers,Yes,Fail
19,Female,Victoria Island (Private),Artisan,1-3 hours,Yes,46,73,No,Poor,Not confident,No,Uncomfortable,Good,Often,"More past questions, Extra lessons, Tutors",More practical lessons,Yes,Fail
16,Female,Others,Trader,3-5 hours,Yes,70,90,No,Good,Somewhat confident,Yes,Neutral,Good,Never,"Counseling, Better textbooks",Extra classes,Yes,Fail
18,Male,Others,Civil servant,Less than 1 hour,Yes,75,71,Yes,Average,Very confident,Yes,Comfortable,Excellent,Never,"Better textbooks, Tutors, More past questions",More practical lessons,No,Pass
18,Male,Epe (Public),Trader,3-5 hours,No,88,97,No,Average,Confident,No,Uncomfortable,Good,Often,Extra lessons,More teachers,No,Fail
18,Male,Victoria Island (Private),Artisan,3-5 hours,Yes,48,81,No,Good,Confident,Yes,Uncomfortable,Poor,Always,"Better textbooks, Extra lessons",More teachers,Yes,Fail
18,Female,Ikorodu (Public),Business owner,More than 5 hours,No,57,60,No,Good,Confident,No,Uncomfortable,Good,Often,"Counseling, Better textbooks",Improved facilities,No,Fail
18,Female,Epe (Public),Civil servant,Less than 1 hour,No,67,59,Yes,Average,Somewhat confident,Yes,Comfortable,Good,Always,"Tutors, Better textbooks, More past questions",Improved facilities,Yes,Fail
18,Male,Ikorodu (Public),Civil servant,3-5 hours,Yes,43,79,No,Poor,Somewhat confident,Yes,Comfortable,Fair,Never,Tutors,More teachers,Yes,Fail
16,Female,Lekki (Private),Business owner,More than 5 hours,No,61,90,No,Excellent,Not confident,Yes,Neutral,Good,Never,"Counseling, Better textbooks, More past questions",More teachers,Yes,Fail
18,Female,Others,Teacher,3-5 hours,No,51,88,Yes,Poor,Confident,Yes,Uncomfortable,Fair,Occasionally,"Counseling, More past questions",Extra classes,No,Pass
20,Female,Victoria Island (Private),Teacher,1-3 hours,No,40,67,No,Excellent,Somewhat confident,Yes,Comfortable,Excellent,Never,"Tutors, Counseling, More past questions",More teachers,Yes,Fail
19,Female,Victoria Island (Private),Teacher,1-3 hours,Yes,52,48,Yes,Good,Very confident,No,Comfortable,Good,Never,"Counseling, Tutors, Extra lessons",Extra classes,No,Fail
17,Male,Others,Artisan,More than 5 hours,Yes,47,93,Yes,Excellent,Somewhat confident,No,Neutral,Excellent,Often,Tutors,More teachers,Yes,Fail
16,Female,Epe (Public),Teacher,Less than 1 hour,No,68,59,Yes,Good,Not confident,Yes,Neutral,Fair,Often,"Extra lessons, Counseling, Better textbooks",More teachers,No,Fail
20,Male,Ikorodu (Public),Civil servant,Less than 1 hour,Yes,44,80,Yes,Excellent,Confident,No,Comfortable,Poor,Occasionally,Counseling,Improved facilities,Yes,Fail
16,Male,Epe (Public),Trader,1-3 hours,No,53,63,Yes,Excellent,Confident,Yes,Uncomfortable,Good,Always,"Better textbooks, Extra lessons, Tutors",Improved facilities,Yes,Pass
17,Male,Lekki (Private),Trader,More than 5 hours,Yes,58,67,No,Average,Not confident,Yes,Neutral,Poor,Never,More past questions,More practical lessons,Yes,Fail
18,Male,Ikorodu (Public),Trader,Less than 1 hour,Yes,44,73,Yes,Good,Confident,Yes,Uncomfortable,Good,Always,Extra lessons,Improved facilities,No,Fail
20,Female,Lekki (Private),Artisan,Less than 1 hour,Yes,99,82,Yes,Good,Very confident,No,Neutral,Poor,Never,Counseling,Extra classes,No,Fail
17,Female,Epe (Public),Trader,More than 5 hours,No,87,89,Yes,Excellent,Confident,Yes,Uncomfortable,Good,Often,"More past questions, Better textbooks, Extra lessons",Improved facilities,No,Pass
20,Female,Victoria Island (Private),Teacher,1-3 hours,Yes,42,61,Yes,Average,Not confident,No,Comfortable,Good,Never,"Extra lessons, More past questions",More practical lessons,No,Fail
18,Male,Epe (Public),Teacher,3-5 hours,Yes,40,66,Yes,Good,Not confident,No,Comfortable,Fair,Often,"More past questions, Counseling",More practical lessons,No,Fail
20,Male,Lekki (Private),Civil servant,1-3 hours,Yes,78,86,Yes,Poor,Confident,Yes,Comfortable,Good,Always,"Tutors, More past questions, Better textbooks",More teachers,Yes,Pass
16,Female,Others,Teacher,Less than 1 hour,Yes,45,47,No,Excellent,Confident,Yes,Comfortable,Good,Always,Tutors,Improved facilities,No,Fail
20,Female,Lekki (Private),Civil servant,1-3 hours,Yes,91,50,No,Good,Very confident,Yes,Neutral,Good,Occasionally,"Extra lessons, Better textbooks, Counseling",Improved facilities,No,Pass
20,Female,Victoria Island (Private),Business owner,Less than 1 hour,Yes,94,83,Yes,Poor,Very confident,Yes,Neutral,Poor,Never,"More past questions, Extra lessons",Improved facilities,Yes,Pass
20,Female,Others,Artisan,3-5 hours,No,57,77,No,Excellent,Somewhat confident,No,Comfortable,Good,Always,Counseling,More practical lessons,No,Fail
18,Female,Others,Business owner,More than 5 hours,Yes,71,65,Yes,Average,Very confident,No,Uncomfortable,Good,Occasionally,"Counseling, Better textbooks, More past questions",More teachers,Yes,Fail
20,Female,Others,Teacher,3-5 hours,Yes,68,63,Yes,Poor,Somewhat confident,Yes,Comfortable,Good,Never,"Counseling, Better textbooks",Improved facilities,Yes,Fail
20,Female,Ikorodu (Public),Business owner,3-5 hours,No,61,57,No,Good,Very confident,Yes,Comfortable,Poor,Never,"Tutors, Better textbooks",More teachers,Yes,Pass
19,Male,Others,Trader,3-5 hours,Yes,61,70,No,Excellent,Very confident,Yes,Neutral,Fair,Never,"Extra lessons, More past questions, Better textbooks",Extra classes,Yes,Pass
20,Female,Lekki (Private),Business owner,1-3 hours,No,76,91,Yes,Average,Very confident,Yes,Comfortable,Excellent,Never,"Better textbooks, Extra lessons, Tutors",More teachers,No,Pass
20,Female,Ikorodu (Public),Artisan,3-5 hours,No,42,72,No,Excellent,Not confident,No,Uncomfortable,Good,Occasionally,"Tutors, Extra lessons",Improved facilities,No,Fail
17,Female,Victoria Island (Private),Civil servant,1-3 hours,Yes,80,66,Yes,Average,Somewhat confident,No,Comfortable,Poor,Always,"More past questions, Extra lessons, Counseling",Improved facilities,Yes,Fail
18,Male,Ikorodu (Public),Trader,Less than 1 hour,Yes,98,84,No,Good,Confident,No,Neutral,Fair,Occasionally,"Extra lessons, More past questions",More teachers,Yes,Fail
20,Female,Ikorodu (Public),Teacher,1-3 hours,Yes,76,69,No,Excellent,Confident,No,Neutral,Fair,Often,Tutors,Improved facilities,No,Fail
20,Female,Lekki (Private),Teacher,1-3 hours,No,73,54,No,Poor,Not confident,No,Comfortable,Good,Occasionally,Counseling,Extra classes,Yes,Fail
17,Male,Ikorodu (Public),Trader,Less than 1 hour,Yes,68,59,Yes,Poor,Confident,No,Uncomfortable,Fair,Occasionally,"More past questions, Extra lessons",Improved facilities,No,Fail
16,Male,Others,Artisan,1-3 hours,No,91,72,No,Average,Confident,Yes,Uncomfortable,Fair,Occasionally,"More past questions, Better textbooks, Tutors",Improved facilities,Yes,Pass
20,Male,Epe (Public),Artisan,Less than 1 hour,Yes,53,41,No,Poor,Very confident,Yes,Uncomfortable,Excellent,Occasionally,"Tutors, Better textbooks",More practical lessons,Yes,Fail
16,Male,Victoria Island (Private),Business owner,More than 5 hours,No,41,43,No,Good,Confident,No,Comfortable,Excellent,Occasionally,"Counseling, Extra lessons",Extra classes,No,Fail
16,Male,Others,Artisan,3-5 hours,No,85,73,Yes,Poor,Somewhat confident,Yes,Comfortable,Good,Often,Counseling,More teachers,No,Fail
18,Female,Others,Civil servant,Less than 1 hour,No,91,75,No,Good,Confident,Yes,Comfortable,Good,Occasionally,Better textbooks,More practical lessons,No,Pass
16,Female,Ikorodu (Public),Business owner,Less than 1 hour,No,63,67,Yes,Good,Somewhat confident,No,Comfortable,Good,Never,"Extra lessons, More past questions, Counseling",More practical lessons,Yes,Fail
17,Female,Epe (Public),Teacher,More than 5 hours,No,48,81,Yes,Average,Not confident,No,Neutral,Good,Always,"Better textbooks, Tutors, Counseling",Extra classes,No,Fail
19,Female,Others,Business owner,Less than 1 hour,Yes,61,89,Yes,Poor,Somewhat confident,Yes,Uncomfortable,Fair,Never,"Counseling, Tutors",More practical lessons,No,Fail
16,Male,Others,Business owner,3-5 hours,No,77,65,Yes,Good,Very confident,No,Neutral,Fair,Occasionally,Extra lessons,More teachers,Yes,Fail
20,Female,Victoria Island (Private),Business owner,1-3 hours,Yes,49,60,No,Average,Not confident,No,Uncomfortable,Excellent,Occasionally,More past questions,Extra classes,Yes,Fail
16,Male,Others,Business owner,1-3 hours,No,49,100,No,Good,Confident,Yes,Comfortable,Excellent,Never,Counseling,Improved facilities,No,Fail
19,Female,Lekki (Private),Artisan,1-3 hours,Yes,51,70,No,Good,Not confident,Yes,Uncomfortable,Excellent,Occasionally,"More past questions, Better textbooks, Tutors",Extra classes,Yes,Fail
19,Female,Ikorodu (Public),Civil servant,Less than 1 hour,Yes,56,41,No,Average,Very confident,Yes,Comfortable,Good,Always,"More past questions, Counseling",More teachers,Yes,Fail
18,Female,Others,Teacher,1-3 hours,No,41,90,Yes,Poor,Not confident,No,Comfortable,Fair,Never,"Better textbooks, Extra lessons",More teachers,No,Fail
19,Male,Ikorodu (Public),Teacher,More than 5 hours,Yes,57,49,Yes,Poor,Not confident,Yes,Neutral,Good,Often,"Better textbooks, More past questions",More teachers,Yes,Fail
19,Male,Victoria Island (Private),Business owner,More than 5 hours,No,95,46,Yes,Average,Very confident,Yes,Neutral,Fair,Never,"More past questions, Extra lessons",More practical lessons,Yes,Fail
20,Male,Epe (Public),Civil servant,3-5 hours,Yes,45,63,No,Good,Not confident,Yes,Comfortable,Good,Often,"More past questions, Better textbooks, Tutors",Extra classes,Yes,Fail
20,Male,Epe (Public),Civil servant,Less than 1 hour,Yes,60,99,Yes,Good,Somewhat confident,No,Comfortable,Fair,Always,"More past questions, Extra lessons, Tutors",Extra classes,Yes,Fail
17,Male,Lekki (Private),Business owner,More than 5 hours,Yes,98,95,No,Good,Not confident,No,Neutral,Excellent,Often,Counseling,More practical lessons,Yes,Fail
19,Female,Lekki (Private),Civil servant,Less than 1 hour,Yes,97,64,No,Poor,Confident,No,Neutral,Poor,Always,"Extra lessons, Better textbooks, More past questions",More teachers,No,Fail
20,Female,Epe (Public),Business owner,Less than 1 hour,No,80,61,No,Poor,Very confident,Yes,Neutral,Poor,Never,Tutors,Improved facilities,Yes,Pass
20,Female,Others,Teacher,Less than 1 hour,No,52,74,Yes,Good,Not confident,No,Uncomfortable,Poor,Never,"Tutors, Better textbooks",Improved facilities,Yes,Fail
16,Male,Victoria Island (Private),Artisan,Less than 1 hour,Yes,92,93,No,Average,Confident,No,Uncomfortable,Poor,Never,"Tutors, Better textbooks, Counseling",More teachers,Yes,Fail
16,Female,Victoria Island (Private),Teacher,3-5 hours,Yes,47,99,No,Good,Very confident,No,Uncomfortable,Poor,Occasionally,"Extra lessons, More past questions",Extra classes,No,Fail
17,Male,Epe (Public),Business owner,Less than 1 hour,No,73,96,No,Average,Confident,Yes,Neutral,Excellent,Often,"Better textbooks, Extra lessons, More past questions",More teachers,Yes,Pass
17,Male,Ikorodu (Public),Teacher,More than 5 hours,Yes,54,76,Yes,Poor,Not confident,No,Comfortable,Excellent,Often,More past questions,More practical lessons,Yes,Fail
16,Male,Epe (Public),Artisan,More than 5 hours,No,43,54,No,Average,Confident,No,Neutral,Fair,Occasionally,Tutors,More practical lessons,Yes,Fail
18,Male,Victoria Island (Private),Civil servant,Less than 1 hour,Yes,88,89,No,Poor,Somewhat confident,No,Neutral,Fair,Always,"More past questions, Better textbooks, Tutors",Extra classes,No,Fail
16,Female,Lekki (Private),Teacher,3-5 hours,No,77,73,Yes,Excellent,Very confident,No,Comfortable,Excellent,Never,"Tutors, More past questions",Extra classes,Yes,Fail
20,Male,Ikorodu (Public),Teacher,3-5 hours,Yes,40,97,Yes,Average,Confident,No,Uncomfortable,Poor,Often,More past questions,Improved facilities,Yes,Fail
20,Male,Victoria Island (Private),Civil servant,1-3 hours,No,43,83,Yes,Good,Somewhat confident,Yes,Neutral,Fair,Often,"Tutors, Counseling",More teachers,Yes,Fail
